question,answer_A,answer_B,answer_C,answer_D,answer_E,id
What are the possible therapeutic strategies in asthma and chronic obstructive pulmonary disease (COPD)? (one or more correct answers),Long-term inhaled corticosteroid therapy as a monotherapy in COPD,Continuous inhaled corticosteroid monotherapy in asthma,Long-acting beta-2 agonist in monotherapy for asthma,Inhaled corticosteroid and long-acting inhaled beta-2 agonist combination as maintenance therapy in asthma,Long-acting beta-2 agonist as monotherapy in COPD,81
Cite the potential consequence(s) of a drug interaction with a cytochrome p450 3a4 inducer.,Graft rejection under cyclosporine,Pregnancy under estrogen-progestogen therapy,Ergotism in the presence of ergotamine,Rhabdomyolysis in the presence of certain statins,Failure of antiretroviral treatment,82
You receive the result of a blood ionogram showing a potassium level of 6 mmol/l. What iatrogenic cause(s) can you suggest?,Long-term oral corticosteroid therapy,Angiotensin ii antagonist,Mineralocorticoid receptor inhibitor,Angiotensin-converting enzyme inhibitor,Loop diuretic,83
Concerning drug antidotes:,Protamine sulfate neutralizes the anticoagulant activity of heparin.,Naloxone is a specific antagonist of morphinomimetics.,Prothrombin factors are the antidote for clopidogrel,N-acetylcysteine is the antidote for acetylsalicylic acid,Flumazenil is an antagonist of benzodiazepines and related compounds,84
"A 23-year-old woman is hospitalized in psychiatry for a state of psychomotor excitement evolving for a week, with disinhibition leading to reckless spending and risky sexual behavior. She has not slept for 72 hours but shows no signs of fatigue and is attempting to introduce herself to each of the patients in the ward. If you had to choose a monotherapy, which of these options would seem indicated?",Lithium,Valproic acid,Risperidone,Carbamazepine,Quetiapine,85
Concerning the decision for medical termination of pregnancy (mtp) (one or more correct answers):,Any request for IMG must be reviewed by the multidisciplinary prenatal diagnosis center (CPDPN),There is a list of pathologies for which there is a medical indication for IMG,"The admissibility of the request is based on the demonstration of a ""high probability of a disease of particular severity and incurable at the time of diagnosis",A period of reflection must be offered to the pregnant woman between the diagnosis of the condition and the potential performance of the termination of pregnancy.,An MRI can be performed after consultation with the CPDPN until term,86
"A 31-year-old woman describes the sudden onset, one month ago, of intense fatigue accompanied by profound sadness. She reproaches herself a lot, particularly for being unable to take care of her 2-month-old daughter, is very slowed down, and often wakes up in the middle of the night. At times, she experiences suicidal thoughts. Among the following characteristics, which one(s) may indicate bipolar mood disorder?",Female sex,Postpartum context,Sudden onset,Melancholic features,Suicidal ideation,87
"Among the following signs and symptoms, which one(s) is(are) more frequent in cases of depressive episodes in the elderly compared to young adults?",Somatic complaints,Guilt feeling,Self-deprecation,Suicidal thoughts,Sexual disorders,88
"Among the following signs, which one(s) may be a symptom(s) due to the withdrawal of an opiate substance?",Constipation,Bilateral mydriasis,Hallucinations,Vomiting,Arterial hypertension,89
"When facing a patient with an alcohol use disorder who is opposed to the idea of addiction treatment, what attitude(s) characterize motivational interviewing?",Provide the patient with arguments in favor of change,Let the patient explain what alcohol brings them,Expose the patient to situations at risk of excessive consumption,Identify the patient's personal reasons for change,Emphasize to the patient the risks associated with alcohol consumption,90
A 69-year-old patient presents for an annual visit to his new general practitioner. The clinical examination reveals a pulse of 45 beats per minute. Name the medication(s) likely to be responsible:,Selective beta-blocker,Class III antiarrhythmic,Calcium channel blocker of the dihydropyridine group,Anticholinesterase,Short-acting beta-2 adrenergic agonist bronchodilator for inhalation,91
Regarding Down syndrome (one or more correct answers):,It most often results from a maternal meiotic accident,"When it is associated with a 46,xx,der(14;21),+21 chromosomal formula, it does not require a family investigation.",Its post-natal diagnosis can be quickly confirmed through molecular biology.,The risk of recurrence is close to 1/100 to 1/200 for a couple having had a first affected child,Its risk is reduced by advanced maternal age at the time of conception,92
Regarding the histological lesions of glomerulopathies (one or more correct answers):,The diagnosis of minimal glomerular lesions requires examination by electron microscopy,Focal segmental glomerulosclerosis can be primary in adults,Membranoproliferative glomerulopathy is characterized by double contours of the glomerular basement membrane,Hump-like deposits are present in acute post-infectious glomerulonephritis,Diabetes can lead to glomerulopathy,93
Histological diagnosis of prostate adenocarcinoma on biopsy mapping (one or more accurate responses):,Generally requires six biopsy samples,Can confirm extraprostatic involvement,Requires a biopsy of the seminal vesicles,Specified in its prognosis by the Gleason architectural score,Specified in its prognosis by the proliferation index,94
"During a surgical procedure, a frozen section examination on a tissue sample is requested. The sample must be sent to the pathology laboratory (one or more correct answers):",At + 4°C,At -20°C,Immersed in formalin,Without fixative solution,Accompanied by a consent form,95
"On a liver biopsy, findings supportive of the diagnosis of acute alcoholic hepatitis (one or more correct answers):",An inflammation with neutrophilic polymorphonuclear leukocytes,Ballooned hepatocytes,Councilman bodies.,Cirrhosis,Cholestasis,96
Molecular biology analyses as part of the anatomopathological diagnosis of a tumor (one or more correct answers),Can be performed on tissue samples fixed and embedded in paraffin,Can be performed on unfixed tissue samples frozen at -80°C,Can be performed on liquid-based cytology smears,Morphological control of the tissue sample is required,Require a signed authorization from the patient,97
"Regarding Alzheimer's disease, which statement(s) is(are) correct?",Diagnosis is often late,This is secondary dementia,Behavioral disorders often manifest at the onset of the disease,The Dubois 5-word test allows for diagnosis,It progresses in episodes leading to recurrent hospitalizations,98
"Regarding the aging of organs, which statement(s) is(are) true:",It is marked by a decrease in maximal capacities,It is essentially due to oxidative stress,This is a concept without scientific evidence,It is characterized by a reduction in functional reserve capacity,It allows for assessing the individual's autonomy.,99
"Concerning frailty syndrome, which proposition(s) is(are) correct?",This is a concept without a precise definition,It allows the assessment of the functional reserves of the organs,It is associated with a risk of dependence,It is associated with the risk of pressure ulcers during hospitalization.,It is associated with an increased risk of myocardial infarction,100
"You are taking care of an 85-year-old patient in the emergency department for a head injury under vitamin K antagonist (VKA) prescribed for atrial fibrillation. The INR is 2.9. There is a petechiae on the brain CT scan. Among the following proposals, which one(s) do you retain for your therapeutic management?",Immediate administration of prothrombin complex concentrate,Administration of vitamin K within 4 hours,Routine brain scan in 6 hours,Discontinuation of vitamin K antagonist with bridging to therapeutic dose heparin,Discontinuation of vitamin K antagonist,101
Which criterion/criteria among the following indicate(s) severe malnutrition in the elderly?,Weight loss ≥ 10% in 1 month,Body mass index <18 kg/m2,Weight loss ≥ 15 kg in 6 months,Mini Nutritional Assessment score <17,Plasma albumin level <35 g/l,102
