id,question,answer_A,answer_B,answer_C,answer_D,answer_E
61,"Concernant la péritonite aiguë, quelle(s) proposition(s) retenez-vous ?",Le scanner abdominal est l'examen morphologique de référence pour le diagnostic,Le traitement chirurgical doit comporter un lavage de la cavité péritonéale,"Les 3 causes les plus fréquentes sont l'appendicite, l'ulcère gastro-duodénal, le diverticule colique",Le risque évolutif de la péritonite est le choc septique,La péritonite est toujours liée à une perforation digestive
62,"Concernant l’occlusion intestinale aiguë, quelle(s) est (sont) la (les) information(s) exacte(s) ?",Une occlusion fonctionnelle peut avoir pour cause un trouble hydroélectrolytique,Une bride péritonéale peut entrainer une occlusion par strangulation,L’occlusion par strangulation menace la vitalité de l’intestin en quelques heures,Le scanner abdominal avec injection de produit de contraste est l’examen de référence,Le cancer du côlon est la première cause d’occlusion colique par obstruction
63,En ce qui concerne le syndrome occlusif : (une ou plusieurs réponses exactes),L'arrêt des matières est un signe physique absent dans 30% des cas,La douleur abdominale est toujours le symptome initial,Le siège de la douleur abdominale signe le siège de l'obstacle,Les vomissements répétés et fréquents soulagent temporairement les douleurs abdominales dans les occlusions del'intestin grêle,L'arrêt des gaz est le signe fonctionnel primordial au diagnostic
64,"M. m, âgé de 58 ans, vous est adressé pour des anomalies du bilan martial. dans ses antécédents, on note uniquement undiabète diagnostiqué il y a 3 mois.a l’examen clinique, la température est à 37,3 °c. vous notez une hépatomégalie évaluée à 5 cm sous l’auvent costaldroit.son bilan martial vous est présenté ci-dessous :coefficient de saturation de la transferrine (cst) à 62%, ferritine à 1200 ng/ml (normale 30 à 300 mg/ml).parmi les propositions suivantes, laquelle (ou lesquelles) des causes suivantes pourrai(en)t expliquer les anomalies dubilan martial présentées dans ce contexte clinique ?",Syndrome inflammatoire,Hépatosidérose dysmétabolique,Hémochromatose génétique,Myélodysplasie,Syndrome d’activation macrophagique
65,Lors de l'admission d'un polytraumatisé en état de choc hémorragique sévère (une ou plusieures réponses exactes):,Un bodyscan est indispensable et doit être réalisé en urgence,Une fast écho réalisée au lit du patient suffit à affirmer l'hémopéritoine,Une laparotomie en urgence est indiquée pour affirmer l'origine abdominale du choc hémorragique,"En cas d'hémopéritoine massif la technique de ""damage control"" est la technique de référence","La technique de ""damage control"" a pour but de contrôler le saignement et de traiter dans le même temps les lésionsdigestives"
66,"M. m., âgé de 22 ans, consulte en urgence en raison d’une asthénie associée à une fièvre à 39°c évoluant depuis 72heures. il se plaint d’une odynophagie et de myalgies diffuses.a l’examen clinique, vous trouvez des adénopathies cervicales et une splénomégalie à un travers de doigt.un bilan sanguin a été réalisé en ville et montre les résultats suivants :hémoglobine 13,2 g/dl, vgm 89 fl, plaquettes 120 g/l, leucocytes 10,6 g/l, polynucléaires neutrophiles 1,6 g/l,basophiles 0,1 g/l, éosinophiles 0,4 g/l, lymphocytes 8 g/l, monocytes 0,5 g/l.frottis sanguin : présence de nombreux lymphocytes de grande taille avec cytoplasme hyper-basophile.parmi les examens complémentaires suivants, lequel (ou lesquels) vous paraissent à réaliser en 1ère intention dans cecontexte clinique ?",Myélogramme,Immunophénotypage lymphocytaire,Antigénémie p24,Mni test,Sérologie du cytomégalovirus (cmv)
67,"Un patient présente une claudication pour une distance évaluée à 400 mètres et qui se traduit par une douleur au niveau dumollet droit.a l’examen clinique vous notez :  l’absence d’œdème des membres inférieurs  la présence de tous les pouls périphériques au niveau du membre inférieur gauche le pouls poplité est cependant ample ettrès facile à palper  alors qu’à droite seul le pouls fémoral est perçu  il n’y a ni trouble sensitif, ni trouble moteur au niveau des membres inférieurs.  vous retrouvez enfin un souffle iliaque gauchequelle(s) lésion(s) artérielle(s) devez-vous suspecter ?",Oblitération iliaque gauche,Sténose iliaque gauche,Anévrisme poplité gauche,Oblitération iliaque droite,Oblitération fémorale droite
68,"A propos du souffle dans l’insuffisance mitrale, quelle(s) est (sont) la(les) proposition(s) exacte(s) ?",Il est mésosystolique éjectionnel,Il est le plus souvent en jet de vapeur,Il peut être associé à un roulement mésodiastolique,Il est le plus souvent de siège apexo-axillaire,Il irradie aux carotides
69,"Dans un essai clinique, l'attribution aléatoire (randomisation) du traitement évalué est destinée à :",Constituer des groupes comparables à l'aune des facteurs de confusion potentiels,Conclure à une différence avec un seuil de signification statistique de 5%,Atténuer les fluctuations d'échantillonnage,Maintenir les sujets dans l'ignorance du traitement alloué pendant toute la durée d'étude,Réduire le nombre de sujets nécessaire
70,Les mesures d'association qu'il est possible d'estimer dans une étude épidémiologique étiologique transversale incluent :,Le taux d'incidence,L'odds ratio,Le taux de mortalité,La prévalence,La fraction étiologique
71,"Dans la liste des infections bactériennes suivantes, quelle(s) est(sont) celle(s) qui n’est(ne sont) habituellement pasassociée(s) à une hyperleucocytose ?",Abcès hépatique à bacille à gram négatif,Pyélonéphrite aiguë,Fièvre typhoïde,Infection pulmonaire à pneumocoque,Tuberculose
72,"Parmi les parasitoses suivantes, quelle(s) est(sont) celle(s) qui se transmet(tent) par contact cutané (marche pieds nus,baignade) avec l’eau ou le sol humide ?",Amoebose,Téniose,Hydatidose (échinococcose),Strongyloidose (anguillulose),Schistosomoses (bilharzioses)
73,le certificat médical descriptif de lésions secondaires à des violences : (une ou plusieurs réponses exactes),Doit mentionner le retentissement psychologique des violences sur la victime,Peut être remis directement à un officier de police judiciaire si l’incapacité totale de travail est supérieure à huit jours,Peut être remis directement à un tiers sous réserve qu’il apporte la preuve de son lien avec la victime,Est remis au titulaire de l’autorité parentale si la victime est mineure,Permet de constater sur le plan médical la crédibilité des propos de la victime
74,"En absence de différence statistiquement significative du critère de jugement principal entre les deux groupes d'un essaicontrôlé randomisé prospectif contre placebo, il faut évoquer :",Le risque d'erreur statistique de deuxième espèce (bêta),L'absence d'effet du traitement,Un défaut de puissance statistique,La non-infériorité du traitement évalué,Le risque d'erreur statistique de première espèce (alpha)
75,"L’association à l’autopsie d’un hématome sous-dural récent, bilatéral et multi-focal et d’hémorragies rétiniennes bilatéraleschez un bébé de 6 mois sans antécédent particulier évoque le diagnostic de : (une ou plusieurs réponses exactes)",Mort subite du nourrisson,Syndrome du bébé secoué,Syndrome de silverman,Rupture de malformation artério-veineuse cérébrale,Traumatisme crânien accidentel
76,"Le volet administratif du certificat de décès, par voie électronique ou papier, est transmis : (une ou plusieurs réponsesexactes)",A la mairie du lieu de décès,A l’institut national de la santé et de la recherche médicale (inserm),Au gestionnaire de la chambre funéraire mandaté par la famille,Au procureur de la république,A la famille du défunt
77,Le syndrome du qt long congénital est un trouble du rythme héréditaire de transmission autosomique dominante quiprédispose à la mort subite dès l'enfance et qui peut faire l'objet d'une prise en charge préventive. cette pathologie est trèshétérogène sur le plan génétique. quelle(s) est (sont) la (les) proposition(s) exacte(s) :,Les gènes impliqués codent pour des canaux ioniques,Le syndrome du qt long est le plus souvent associé à une malformation cardiaque congénitale,L'évaluation génétique de cette pathologie se fait par l'étude du caryotype,Le diagnostic chez un cas index doit mener à une information à la parentèle,Le diagnostic prédictif moléculaire n'est pas autorisée chez l'enfant mineur dans cette situation
78,La rédaction d'un certificat médical descriptif nécessite l'évaluation de l'itt au sens pénal du terme. quelle est lasignification de cet acronyme ?,L’incapacité totale de travail,L’incapacité totale temporaire,L’incapacité temporaire totale,L’incapacité de travailler totalement,L’incapacité temporaire totale
79,Vous recevez en consultation une femme enceinte pour l'échographie morphologique de 22 semaines d’aménorrhée. soncouple est sans histoire familiale. la croissance fœtale est normale. elle a bénéficié d'un dépistage combiné du premiertrimestre avec un risque de trisomie 21 calculé à 1/10 000. la seule particularité est une hyperéchogénicité intestinalefœtale. quelle(s) est(sont) le(s) proposition(s) exacte(s) :,Il s'agit d'un signe d'appel de la mucoviscidose,Il s'agit d'un signe d'appel d'une infection virale,Ce signe est fréquemment rencontré chez les fœtus hétérozygotes pour une mutation sévère du gène cftr,On propose en priorité une recherche d'hétérozygotie chez les 2 parents,On propose en priorité une amniocentèse pour recherche de mutations du gène cftr chez le fœtus
80,Les objectifs de la prise en charge médico-légale d’une victime de violences sexuelles sont : (une ou plusieurs réponsesexactes),Décrire les lésions traumatiques corporelles,Déterminer si la personne était consentante au moment des faits,Déterminer si les déclarations de la victime sont crédibles,Mettre en place une prise en charge multidisciplinaire,Faire des prélèvements pour réalisation d’empreintes génétiques
81,Quelles sont les stratégies thérapeutiques possibles dans l’asthme et la bronchopneumopathie chronique obstructive(bpco) ? (une ou plusieurs réponses exactes),Corticothérapie inhalée au long cours en monothérapie dans la bpco,Corticothérapie inhalée continue en monothérapie dans l’asthme,Bêta-2 agoniste de longue durée d’action au long cours en monothérapie dans l’asthme,Association de corticoïde inhalé et bêta-2 agoniste de longue durée d’action inhalé en traitement de fond dans l’asthme,Bêta-2 agoniste de longue durée d’action en monothérapie dans la bpco
82,Citez la(les) conséquence(s) potentielle(s) d’une association médicamenteuse avec un médicament inducteur ducytochrome p450 3a4.,Rejet de greffe sous ciclosporine,Grossesse sous oestroprogestatifs,Ergotisme en présence d'ergotamine,Rhabdomyolyse en présence de certaines statines,Échec d’un traitement antirétroviral
83,Vous recevez le résultat d’un ionogramme sanguin montrant une kaliémie à 6 mmol/l. quelle(s) cause(s) iatrogène(s)pouvez-vous évoquer ?,Corticothérapie orale au long cours,Antagoniste de l'angiotensine ii,Inhibiteur des récepteurs aux minéralocorticoïdes,Inhibiteur de l'enzyme de conversion,Diurétique de l’anse
84,À propos des antidotes des médicaments :,Le sulfate de protamine neutralise l'activité anticoagulante de l'héparine,La naloxone est un antagoniste spécifique des morphinomimétiques,Les facteurs prothrombiniques sont l'antidote pour le clopidogrel,La n-acétyl-cystéine est l'antidote de l'acide acétylsalicylique,Le flumazénil est un antagoniste des benzodiazépines et des molécules apparentées
85,"Une jeune femme de 23 ans est hospitalisée en psychiatrie pour un état d’excitation psychomotrice évoluant depuis unesemaine, avec désinhibition ayant entrainé des dépenses inconsidérées et des conduites sexuelles à risque. elle n’a pasdormi depuis 72h mais ne manifeste aucune fatigue et entreprend de se présenter à chacun des patients du service. sivous deviez opter pour une monothérapie, laquelle ou lesquelles de ces options vous semblerai(en)t indiquée(s) ?",Lithium,Acide valproïque,Risperidone,Carbamazépine,Quétiapine
86,A propos de la décision d'interruption médicale de grossesse (img) (une ou plusieurs réponses exactes) :,Toute demande d'img doit faire l'objet d'un avis du centre pluridisciplinaire de diagnostic pré-natal (cpdpn),Il existe une liste de pathologies pour lesquelles il y a une indication médicale d'img,"La recevabilité de la demande se fonde sur la démonstration d'une ""forte probabilité d’une affection d'une particulièregravité et incurable au moment du diagnostic""",Un délai de réflexion doit être proposé à la femme enceinte entre le diagnostic de l'affection et la réalisation éventuellede l'img,Une img peut être réalisée après avis du cpdpn jusqu'au terme
87,"Une jeune femme de 31 ans décrit l’apparition brutale, il y a un mois, d’une fatigue intense accompagnée d’une profondetristesse. elle s’adresse beaucoup de reproches, en particulier de ne pas être capable de s’occuper de sa fille de 2 mois,est très ralentie et se réveille souvent au milieu de la nuit. il lui arrive alors d’avoir des idées suicidaires. parmi lescaractéristiques suivantes, laquelle ou lesquelles peut(peuvent) témoigner d’un trouble bipolaire de l’humeur ?",Le sexe féminin,Contexte de post-partum,Début brutal,Caractéristiques mélancoliques,Idées suicidaires
88,"Parmi les signes et symptômes suivants, lequel(lesquels) est(sont) plus fréquent(s) en cas d’épisode dépressif chez lesujet âgé par rapport à l’adulte jeune ?",Plaintes somatiques,Sentiment de culpabilité,Autodépréciation,Idées suicidaires,Troubles sexuels
89,"Parmi les signes suivants, lequel(lesquels) peut(peuvent) être un(des) symptôme(s) dû(s) au sevrage d’une substanceopiacée ?",Constipation,Mydriase bilatérale,Hallucinations,Vomissements,Hypertension artérielle
90,"Devant un patient présentant un trouble lié à l’usage d’alcool et opposé à l’idée d’une prise en charge addictologique,quelle(s) attitude(s) caractérise(nt) l’entretien motivationnel ?",Donner au patient des arguments en faveur du changement,Laisser le patient expliquer ce que lui apporte l’alcool,Exposer le patient à des situations à risque de consommation excessive,Identifier les motifs personnels de changement chez le patient,Insister auprès du patient sur les risques liés à la consommation d’alcool
91,Un patient de 69 ans se présente pour une visite annuelle chez son nouveau médecin généraliste. l’examen clinique révèleun pouls à 45 pulsations par minute. citez le(s) médicament(s) susceptible(s) d’être en cause :,Bêtabloquant sélectif,Antiarythmique de classe iii,Inhibiteur calcique du groupe de la dihydropyridine,Anticholinestérasique,Bronchodilatateur bêta-2 mimétique à action rapide et de courte durée par voie inhalée
92,A propos du syndrome de trisomie 21 (une ou plusieurs réponses exactes):,Il résulte le plus souvent d'un accident méiotique maternel,"Quand il est associé à une formule chromosomique 46,xx,der(14;21),+21, il ne nécessite pas d’enquête familiale",Son diagnostic post-natal peut être affirmé de façon rapide par biologie moléculaire,Son risque de récurrence est proche de 1/100 à 1/200 pour un couple ayant eu un premier enfant atteint,Son risque est diminué par l’âge maternel avancé au moment de la conception
93,Au sujet des lésions histologiques des glomérulopathies (une ou plusieurs réponses exactes) :,Le diagnostic des lésions glomérulaires minimes nécessite un examen en microscopie électronique,La hyalinose segmentaire et focale peut être primitive chez l’adulte,La glomérulopathie membrano-proliférative est caractérisée par des doubles contours de la membrane basaleglomérulaire,Les dépôts de type « humps » sont présents dans la glomérulonéphrite aiguë post-infectieuse,Le diabète peut donner lieu à une glomérulopathie
94,Le diagnostic histologique de l’adénocarcinome prostatique sur cartographie biopsique (une ou plusieurs réponsesexactes):,Nécessite en général six prélèvements biopsiques,Peut affirmer une atteinte extra-prostatique,Nécessite une biopsie au niveau des vésicules séminales,Est précisé dans son pronostic par le score architectural de gleason,Est précisé dans son pronostic par l'index de prolifération
95,"Lors d’une intervention chirurgicale, un examen extemporané sur un prélèvement tissulaire est demandé. le prélèvementdoit être envoyé au laboratoire d’anatomo-pathologie (une ou plusieurs réponses exactes):",À + 4°c,À - 20°c,Immergé dans du formol,Sans liquide fixateur,Accompagné d’une feuille de consentement
96,"Sur une ponction biopsie hépatique, on retient en faveur du diagnostic d’hépatite alcoolique aigue (une ou plusieursréponses exactes):",Une inflammation à polynucléaires neutrophiles,Des hépatocytes ballonisés,Des corps de councilman,Une cirrhose,Une cholestase
97,Des analyses de biologie moléculaire dans le cadre du diagnostic anatomopathologique d'une tumeur (une ouplusieurs réponses exactes):,Peuvent être faites sur des prélèvements tissulaires fixés et inclus en paraffine,Peuvent être faites sur des prélèvements tissulaires non fixés congelés à - 80°c,Peuvent être faites sur des frottis cellulaires en milieu liquide,Nécessitent un contrôle morphologique du prélèvement tissulaire,Nécessitent une autorisation signée du patient
98,"Concernant la maladie d'alzheimer, quelle(s) affirmation(s) est(sont) juste(s) ?",Le diagnostic reste souvent tardif,Il s’agit d’une démence secondaire,Les troubles du comportement se déclarent souvent en début de maladie,Le test des 5 mots de dubois permet de poser le diagnostic,Elle évolue par poussée conduisant à des hospitalisations itératives
99,"Concernant le vieillissement des organes, quelle(s) est(sont) la(les) propositon(s) juste(s) :",Il est marqué par une diminution des capacités maximales,Il est dû essentiellement au stress oxydant,Il s'agit d'un concept sans preuve scientifique,Il est caractérisé par une réduction des capacités de réserve fonctionnelle,Il permet de juger l’autonomie de l’individu
100,"Concernant le syndrome de fragilité, quelle(s) proposition(s) est(sont) juste(s) ?",Il s’agit  d’un concept sans définition précise,Il permet d'évaluer les réserves fonctionnelles des organes,Il est associé à un risque de dépendance,Il est associé au risque d’escarre pendant l’hospitalisation,Il  est associé à une augmentation du risque d’infarctus du myocarde
101,"Vous prenez en charge aux urgences une patiente de 85 ans pour traumatisme crânien sous antivitamine k (avk) prescritpour une fibrillation atriale. l'inr est à 2,9. il existe une pétéchie sur le scanner cérébral. parmi les propositions suivantes,laquelle(lesquelles) retenez-vous pour votre prise en charge thérapeutique ?",Administration immédiate de concentré de complexes prothrombiniques,Administration de vitamine k dans 4 heures,Scanner cérébral de contrôle systématique dans 6 heures,Arrêt de l’antivitamine k avec relais par héparine à dose curative,Arrêt de l’antivitamine k
102,Quel(s) critère(s) parmi les suivants témoigne(nt) d’une dénutrition sévère du sujet âgé ?,Perte de poids ≥ 10 % en 1 mois,Index de masse corporelle <18 kg/m2,Perte de poids ≥ 15 kg en 6 mois,Score mini nutritional assessment <17,Taux d’albumine plasmatique <35 g/l
